Menu_Item_ID,Customizable_Builds,Customizable_Build_ID,Year,Restaurant,Food_Category,Item_Name,Item_Description,Serving_Size,Serving_Size_text,Serving_Size_Unit,Serving_Size_household,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Potassium,Carbohydrates,Protein,Sugar,Dietary_Fiber,Calories_100g,Total_Fat_100g,Saturated_Fat_100g,Trans_Fat_100g,Cholesterol_100g,Sodium_100g,Potassium_100g,Carbohydrates_100g,Protein_100g,Sugar_100g,Dietary_Fiber_100g,Calories_text,Total_Fat_text,Saturated_Fat_text,Trans_Fat_text,Cholesterol_text,Sodium_text,Potassium_text,Carbohydrates_text,Protein_text,Sugar_text,Dietary_Fiber_text,Kids_Meal,Limited_Time_Offer,Regional,Shareable,Combo_Meal
25542,,,2008,White Castle,Beverages,"Coke Zero, Medium","Coke Zero, Carbonated Soft Drinks, Beverages, Medium, 32 fl oz",32,,fl oz,,0,0,0,0,0,10,,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0
25543,,,2008,White Castle,Beverages,"Coke Zero, Large","Coke Zero, Carbonated Soft Drinks, Beverages, Large, 44 fl oz",44,,fl oz,,0,0,0,0,0,20,,,0,0,0,0,0,0,0,0,2,,,0,0,0,,,,,,,,<1,,,,0,0,0,0,0
25545,,,2008,White Castle,Beverages,"Diet Coke, Small","Diet Coke, Carbonated Soft Drinks, Beverages, Small, 21 fl oz",21,,fl oz,,0,0,0,0,0,20,,0,0,0,0,0,0,0,0,0,3,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0
25546,,,2008,White Castle,Beverages,"Diet Coke, Medium","Diet Coke, Carbonated, Soft Drinks, Beverages, Medium, 32 g",32,,fl oz,,0,0,0,0,0,35,,0,0,0,0,0,0,0,0,0,4,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0
25547,,,2008,White Castle,Beverages,"Diet Coke, Large","Diet Coke, Carbonated, Soft Drinks, Beverages, Large, 44 g",44,,fl oz,,0,0,0,0,0,45,,0,0,0,0,0,0,0,0,0,4,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0
25549,,,2008,White Castle,Beverages,"Diet Coke Caffeine Free, Small","Diet Coke Caffeine Free, Carbonated Soft Drinks, Beverages, Small, 21 fl oz",21,,fl oz,,0,0,0,0,0,20,,0,0,0,0,0,0,0,0,0,3,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0
2555,,,2008,Papa Murphy's,Pizza,"Vegetarian Combo DeLITE, Large Size Thin Crust Pizza","Vegetarian Combo DeLITE, Large Size Thin Crust Pizza, Pizzas, 1 Slice",92,,g,"1 Slice, 1/10 Pizza",150,75,35,0,20,360,,14,8,1,5,163,8,4,0,22,391,,15,9,1,1,,,,,,,,,,,,0,0,0,0,0
25550,,,2008,White Castle,Beverages,"Diet Coke Caffeine Free, Medium","Diet Coke Caffeine Free, Carbonated Soft Drinks, Beverages, Medium, 32 fl oz",32,,fl oz,,0,0,0,0,0,35,,0,0,0,0,0,0,0,0,0,4,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0
25551,,,2008,White Castle,Beverages,"Diet Coke Caffeine Free, Large","Diet Coke Caffeine Free, Carbonated Soft Drinks, Beverages, Large, 44 fl oz",44,,fl oz,,0,0,0,0,0,45,,0,0,0,0,0,0,0,0,0,4,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0
25553,,,2008,White Castle,Beverages,"Fanta Grape Soda, Small","Fanta Grape Soda, Carbonated Soft Drinks, Beverages, Small, 21 fl oz",21,,fl oz,,260,0,0,0,0,20,,68,0,68,0,44,0,0,0,0,3,,11,0,11,0,,,,,,,,,,,,0,0,0,0,0
