item_id,year,item_name,item_description
21846,2012,"Banana Peppers, for Regular Salads","Banana Peppers, for Regular Salads"
21847,2012,"Banana Peppers, for Small Salads","Banana Peppers, for Small Salads"
21848,2012,"Basil Pesto, for Bullet Sandwiches","Basil Pesto, for Bullet Sandwiches"
21849,2012,"Basil Pesto, for Regular Sandwiches","Basil Pesto, for Regular Sandwiches"
21850,2012,"Basil Pesto, for Large Sandwiches","Basil Pesto, for Large Sandwiches"
21851,2012,"Basil Pesto, for Small Sandwiches","Basil Pesto, for Small Sandwiches"
21852,2012,"BBQ Sauce, for Large Sandwiches","BBQ Sauce, for Large Sandwiches"
21853,2012,"BBQ Sauce, for Regular Sandwiches","BBQ Sauce, for Regular Sandwiches"
21854,2012,"BBQ Sauce, for Small Sandwiches","BBQ Sauce, for Small Sandwiches"
21855,2012,"Black Angus Steak, for Small Sandwiches","Black Angus Steak, for Small Sandwiches"
21856,2012,"Black Angus Steak, for Regular Sandwiches","Black Angus Steak, for Regular Sandwiches"
21858,2012,"Black Olives, for Regular Sandwiches","Black Olives, for Regular Sandwiches"
21859,2012,"Black Olives, for Sammies","Black Olives, for Sammies"
21860,2012,"Black Olives, for Small Salads","Black Olives, for Small Salads"
21861,2012,"Black Olives, for Large Sandwiches","Black Olives, for Large Sandwiches"
21862,2012,"Blue Cheese Crumbles, for Regular Salads","Blue Cheese Crumbles, for Regular Salads & Regular Sandwiches"
21863,2012,"Blue Cheese Crumbles, for Small Salads","Blue Cheese Crumbles, for Small Salads"
21864,2012,"Blue Cheese, for Regular Salads","Blue Cheese, for Regular Salads"
21866,2012,"Blue Cheese, for Small Salads","Blue Cheese, for Small Salads"
21868,2012,"Blue Cheese Crumbles, for Large Sandwiches","Blue Cheese Crumbles, for Large Sandwiches"
21869,2012,"Blue Cheese Crumbles, for Small Sandwiches","Blue Cheese Crumbles, for Small Sandwiches"
21870,2012,"Blue Cheese Sauce, for Large Sandwiches","Blue Cheese Sauce, for Large Sandwiches"
21871,2012,"Blue Cheese Sauce, for Regular Sandwiches","Blue Cheese Sauce, for Regular Sandwiches"
21872,2012,"Blue Cheese Sauce, for Small Sandwiches","Blue Cheese Sauce, for Small Sandwiches"
21873,2012,"Buffalo Sauce, for Large Sandwiches","Buffalo Sauce, for Large Sandwiches"
21874,2012,"Buffalo Sauce, for Small Sandwiches","Buffalo Sauce, for Small Sandwiches"
21875,2012,"Buttermilk Sauce, for Regular Sandwiches","Buttermilk Sauce, for Regular Sandwiches"
21876,2012,"Buttermilk Sauce, for Sammies","Buttermilk Sauce, for Sammies"
21877,2012,"Buttermilk Sauce, for Small Sandwiches","Buttermilk Sauce, for Small Sandwiches"
21878,2012,"Buttermilk Sauce, for Large Sandwiches","Buttermilk Sauce, for Large Sandwiches"
21879,2012,"Capicola, for Bullet Sandwiches","Capicola, for Bullet Sandwiches"
21880,2012,"Capicola, for Sammies","Capicola, for Sammies"
21881,2012,"Capicola, for Torpedo Sandwiches","Capicola, for Torpedo Sandwiches"
21882,2012,"Capicola, for Large Sandwiches","Capicola, for Large Sandwiches"
21883,2012,"Caprese Mix, for Regular Salads","Caprese Mix, for Regular Salads"
21884,2012,"Caprese Mix, for Small Salads","Caprese Mix, for Small Salads"
21885,2012,"Cheddar, for Bullet Sandwiches","Cheddar, for Bullet Sandwiches"
21886,2012,"Cheddar, for Regular Sandwiches","Cheddar, for Regular Sandwiches"
21887,2012,"Cheddar, for Sammies","Cheddar, for Sammies"
21888,2012,"Cheddar, for Small Sandwiches","Cheddar, for Small Sandwiches"
21889,2012,"Cheddar, for Toasty Sub, Kids","Cheddar, for Toasty Sub, Kids"
21890,2012,"Cheddar, for a Toasty, Kids","Cheddar, for a Toasty, Kids"
21891,2012,"Cheddar, for Torpedo Sandwiches","Cheddar, for Torpedo Sandwiches"
21892,2012,"Cheddar, for Large Sandwiches","Cheddar, for Large Sandwiches"
21893,2012,"Chicken, for Regular Salads","Chicken, for Regular Salads"
21894,2012,"Chicken, for Regular Sandwiches","Chicken, for Regular Sandwiches"
21895,2012,"Chicken, for Sammies","Chicken, for Sammies"
21896,2012,"Chicken, for Small Salads","Chicken, for Small Salads"
21897,2012,"Chicken, for Small Sandwiches","Chicken, for Small Sandwiches"
21898,2012,"Chipotle Jack Blend, for Small Sandwiches","Chipotle Jack Blend, for Small Sandwiches"
21899,2012,"Chipotle Jack Blend, for Large Sandwiches","Chipotle Jack Blend, for Large Sandwiches"
21900,2012,"Mild Chipotle Mayo, for Sammies","Mild Chipotle Mayo, for Sammies"
21901,2012,"Creamy Bacon Alfredo Sauce, for Large Sandwiches","Creamy Bacon Alfredo Sauce, for Large Sandwiches"
21902,2012,"Creamy Bacon Alfredo Sauce, for Small Sandwiches","Creamy Bacon Alfredo Sauce, for Small Sandwiches"
21903,2012,"Creamy Bacon Alfredo Sauce, for Regular Sandwiches","Creamy Bacon Alfredo Sauce, for Regular Sandwiches"
21904,2012,"Crispy Fried Onions, for Large Sandwiches","Crispy Fried Onions, for Large Sandwiches"
21905,2012,"Crispy Fried Onions, for Small Sandwiches","Crispy Fried Onions, for Small Sandwiches"
21906,2012,"Cucumbers, for Regular Salads","Cucumbers, for Regular Salads"
21907,2012,"Cucumbers, for Small Salads","Cucumbers, for Small Salads"
21908,2012,"Dried Cranberries, for Regular Salads","Dried Cranberries, for Regular Salads"
21909,2012,"Dried Cranberries, for Small Salads","Dried Cranberries, for Small Salads"
21910,2012,"Fat Free Balsamic Vinaigrette, Regular","Fat Free Balsamic Vinaigrette, Regular"
21911,2012,"Fat Free Balsamic Vinaigrette, Small","Fat Free Balsamic Vinaigrette, Small"
21912,2012,"Flat Bread, for Regular Sandwiches","Flat Bread, for Regular Sandwiches"
21913,2012,"Flat Bread, for Salads","Flat Bread, for Salads"
21914,2012,"Garbanzo Beans, for Regular Salads","Garbanzo Beans, for Regular Salads"
21915,2012,"Garbanzo Beans, for Small Salads","Garbanzo Beans, for Small Salads"
21916,2012,"Garlic Aioli, for Large Sandwiches","Garlic Aioli, for Large Sandwiches"
21917,2012,"Garlic Aioli, for Regular Sandwiches","Garlic Aioli, for Regular Sandwiches"
21918,2012,"Garlic Aioli, for Small Sandwiches","Garlic Aioli, for Small Sandwiches"
21919,2012,"Guacamole, for Regular Sandwiches","Guacamole, for Regular Sandwiches"
21920,2012,"Guacamole, for Sammies","Guacamole, for Sammies"
21921,2012,"Guacamole, for Small Sandwiches","Guacamole, for Small Sandwiches"
21922,2012,"Guacamole, for Large Sandwiches","Guacamole, for Large Sandwiches"
21923,2012,"Half Ham, for Large Sandwiches","Half Ham, for Large Sandwiches"
21924,2012,"Half Ham, for Regular Sandwiches","Half Ham, for Regular Sandwiches"
21925,2012,"Half Ham, for Small Sandwiches","Half Ham, for Small Sandwiches"
21926,2012,"Half Turkey, for Large Sandwiches","Half Turkey, for Large Sandwiches"
21927,2012,"Half Turkey, for Regular Sandwiches","Half Turkey, for Regular Sandwiches"
