item_id,year,r_id,cat_id,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,potassium,carbs,protein,sugar,dietary_Fiber
45274,2018,45,9,780.0,18.0,5.5,0.0,130.0,1765.0,,96.0,59.0,27.0,2.0
45275,2018,45,9,1650.0,31.5,10.5,0.0,230.0,4710.0,,236.0,104.0,44.0,4.0
45276,2018,45,9,630.0,20.0,10.0,0.0,100.0,2130.0,,70.0,44.0,7.0,4.0
45277,2018,45,9,1260.0,40.5,20.0,0.0,195.0,4270.0,,139.0,87.0,13.0,8.0
45278,2018,45,9,630.0,20.0,9.5,0.0,100.0,2160.0,,69.0,43.0,6.0,2.0
45279,2018,45,9,1260.0,40.0,20.0,0.0,195.0,4330.0,,138.0,86.0,12.0,4.0
45280,2018,45,9,670.0,23.5,8.5,0.0,90.0,1945.0,,76.0,39.0,15.0,8.0
45281,2018,45,9,1340.0,47.5,16.5,0.0,175.0,3905.0,,153.0,77.0,28.0,16.0
45282,2018,45,9,670.0,23.5,8.0,0.0,90.0,1975.0,,75.0,39.0,14.0,6.0
45283,2018,45,9,1340.0,47.0,16.5,0.0,175.0,3965.0,,152.0,76.0,27.0,12.0
45284,2018,45,9,790.0,32.5,17.0,0.5,125.0,2410.0,,74.0,49.0,11.0,5.0
45285,2018,45,9,1570.0,65.5,34.0,1.0,255.0,4850.0,,147.0,97.0,20.0,10.0
45286,2018,45,9,790.0,32.5,16.5,0.5,125.0,2440.0,,73.0,48.0,10.0,3.0
45287,2018,45,9,1570.0,65.0,34.0,1.0,255.0,4910.0,,146.0,96.0,19.0,6.0
45288,2018,45,9,740.0,26.5,13.0,0.5,150.0,2220.0,,76.0,51.0,12.0,5.0
45289,2018,45,9,1480.0,53.5,26.0,1.0,305.0,4470.0,,151.0,100.0,22.0,10.0
45290,2018,45,9,740.0,26.5,12.5,0.5,150.0,2250.0,,75.0,50.0,11.0,3.0
45291,2018,45,9,1480.0,53.0,26.0,1.0,305.0,4530.0,,150.0,100.0,21.0,6.0
45292,2018,45,9,820.0,43.0,11.5,0.0,80.0,2470.0,,71.0,37.0,9.0,5.0
45293,2018,45,9,1560.0,83.0,21.0,0.5,155.0,4735.0,,137.0,69.0,16.0,9.0
45294,2018,45,9,820.0,43.0,11.0,0.0,80.0,2500.0,,70.0,36.0,8.0,3.0
45295,2018,45,9,1560.0,82.5,21.0,0.5,155.0,4795.0,,136.0,68.0,15.0,5.0
45296,2018,45,9,900.0,50.0,15.0,0.0,110.0,2400.0,,77.0,37.0,13.0,6.0
45297,2018,45,9,900.0,50.0,14.5,0.0,110.0,2430.0,,76.0,36.0,12.0,4.0
45298,2018,45,9,1800.0,100.0,31.0,0.0,225.0,4905.0,,153.0,73.0,25.0,12.0
